ProductID;ProductName;Category;Brand;UnitCost;ListPrice
100001;Display Max 328;Screens;Aegis;€ 39,19;€ 48,08
100002;HDMI Cable Ultra 130;Cables;Helios;€ 27,96;€ 37,03
100003;Surge Protector S 325;Power;Aegis;€ 115,06;€ 156,33
100004;Dock Ultra 384;Accessories;Orion;€ 43,09;€ 80,49
100005;Mousepad Plus 199;Gaming;Helios;€ 92,95;€ 130,87
100006;Headphones Prime 487;Audio;Aegis;€ 24,31;€ 33,30
100007;Power Bank S 146;Power;Atlas;€ 167,01;€ 288,89
100008;Screen Plus 384;Screens;Nexus;€ 116,09;€ 206,13
100009;HDD Mini 786;Storage;Atlas;€ 70,41;€ 130,43
100010;Display X 267;Screens;Spectra;€ 118,25;€ 159,93
100011;HDMI Cable Mini 334;Cables;Nexus;€ 206,34;€ 361,88
100012;Scanner Plus 680;Office;Kronos;€ 219,71;€ 304,52
100013;Sensor Prime 371;Smart Home;Nova;€ 39,21;€ 67,00
100014;Ethernet Cable Ultra 508;Cables;Kronos;€ 93,69;€ 177,82
100015;SSD Prime 873;Storage;Ion;€ 16,54;€ 20,38
100016;USB Drive Plus 490;Storage;Nova;€ 150,99;€ 226,64
100017;Headphones Pro 798;Audio;Ion;€ 221,77;€ 379,93
100018;Mousepad Max 261;Gaming;Helios;€ 116,16;€ 216,68
100019;Headphones X 991;Audio;Ion;€ 158,20;€ 281,79
100020;HDMI Cable S 482;Cables;Spectra;€ 191,82;€ 298,19
100021;USB-C Cable Mini 119;Cables;Aegis;€ 32,41;€ 46,09
100022;Speaker Pro 999;Audio;Nexus;€ 144,00;€ 174,11
100023;Sensor X 775;Smart Home;Helios;€ 121,44;€ 189,73
100024;Speaker Ultra 652;Audio;Ion;€ 190,04;€ 316,87
100025;Soundbar Mini 629;Audio;Nova;€ 115,61;€ 154,45
100026;Display Pro 702;Screens;Atlas;€ 58,95;€ 70,93
100027;Mouse Plus 980;Accessories;Nexus;€ 85,95;€ 131,99
100028;Speaker S 840;Audio;Aether;€ 234,20;€ 369,63
100029;Plug Prime 294;Smart Home;Nexus;€ 28,11;€ 46,22
100030;Mousepad Ultra 984;Gaming;Nova;€ 183,62;€ 303,90
100031;Panel Ultra 919;Screens;Aegis;€ 216,11;€ 288,83
100032;Switch Prime 532;Networking;Ion;€ 49,95;€ 74,77
100033;Monitor Plus 767;Screens;Aether;€ 249,82;€ 443,94
100034;Screen X 597;Screens;Nexus;€ 122,93;€ 221,09
100035;Mouse Ultra 499;Accessories;Orion;€ 69,97;€ 121,61
100036;Plug Ultra 258;Smart Home;Kronos;€ 51,52;€ 67,66
100037;Stand Pro 421;Accessories;Spectra;€ 19,01;€ 30,19
100038;HDMI Cable X 620;Cables;Ion;€ 24,63;€ 31,76
100039;Surge Protector S 222;Power;Helios;€ 235,69;€ 371,74
100040;Power Bank Pro 529;Power;Spectra;€ 166,06;€ 261,37
100041;Headset S 344;Gaming;Kronos;€ 70,08;€ 87,47
100042;Headphones Mini 109;Audio;Aether;€ 117,28;€ 222,70
100043;Panel S 235;Screens;Helios;€ 233,65;€ 423,06
100044;Switch Max 548;Networking;Atlas;€ 209,27;€ 351,08
100045;UPS Pro 779;Power;Ion;€ 30,38;€ 54,95
100046;Speaker Plus 378;Audio;Helios;€ 74,03;€ 96,83
100047;Mousepad Max 357;Gaming;Nexus;€ 226,81;€ 404,76
100048;Monitor Max 103;Screens;Nova;€ 86,72;€ 108,24
100049;Soundbar Prime 674;Audio;Orion;€ 7,37;€ 8,89
100050;NVMe Pro 696;Storage;Ion;€ 140,37;€ 206,67
100051;Mouse Mini 466;Accessories;Kronos;€ 56,47;€ 75,51
100052;Display Ultra 342;Screens;Atlas;€ 216,83;€ 408,11
100053;HDD Pro 854;Storage;Nova;€ 231,50;€ 402,07
100054;Scanner Max 906;Office;Nexus;€ 176,81;€ 254,06
100055;Keyboard S 936;Accessories;Aether;€ 230,02;€ 324,84
100056;Switch Pro 508;Networking;Nexus;€ 85,42;€ 153,61
100057;Mic Ultra 128;Audio;Atlas;€ 33,26;€ 62,46
100058;SSD Max 211;Storage;Spectra;€ 151,16;€ 213,02
100059;Mousepad Plus 690;Gaming;Nova;€ 51,57;€ 61,02
100060;Webcam S 541;Office;Aegis;€ 22,14;€ 36,49
100061;Controller Mini 837;Gaming;Spectra;€ 225,51;€ 345,11
100062;Webcam Ultra 667;Office;Atlas;€ 36,19;€ 53,03
100063;Chair Max 661;Office;Orion;€ 209,26;€ 288,34
100064;Repeater Mini 552;Networking;Nova;€ 113,33;€ 148,49
100065;Bulb Plus 627;Smart Home;Orion;€ 167,64;€ 270,65
100066;Display Max 925;Screens;Nexus;€ 53,79;€ 62,84
100067;Repeater Plus 524;Networking;Aether;€ 222,10;€ 351,31
100068;Scanner Ultra 251;Office;Aether;€ 165,73;€ 191,28
100069;Display S 923;Screens;Nova;€ 239,70;€ 368,77
100070;Mouse S 567;Accessories;Ion;€ 37,67;€ 56,45
100071;USB-C Cable Mini 727;Cables;Ion;€ 204,68;€ 372,32
100072;Scanner Prime 861;Office;Ion;€ 216,07;€ 321,42
100073;Switch Prime 381;Networking;Kronos;€ 112,77;€ 190,04
100074;Access Point Mini 653;Networking;Kronos;€ 24,74;€ 31,25
100075;Printer S 524;Office;Orion;€ 104,86;€ 163,26
100076;Chair S 498;Office;Aegis;€ 226,69;€ 360,00
100077;Adapter Ultra 106;Accessories;Spectra;€ 235,97;€ 324,21
100078;Chair S 324;Office;Nova;€ 71,87;€ 108,83
100079;Scanner Ultra 960;Office;Atlas;€ 119,51;€ 148,88
100080;Surge Protector Pro 706;Power;Ion;€ 143,28;€ 167,68
100081;Scanner Prime 151;Office;Orion;€ 68,74;€ 95,93
100082;Plug Mini 384;Smart Home;Atlas;€ 189,24;€ 335,70
100083;Headphones Prime 867;Audio;Helios;€ 137,16;€ 260,59
100084;Controller Plus 872;Gaming;Nexus;€ 12,60;€ 16,83
100085;Keyboard X 229;Accessories;Spectra;€ 121,02;€ 149,56
100086;Access Point Max 271;Networking;Aether;€ 153,44;€ 287,36
100087;Monitor Max 692;Screens;Orion;€ 11,29;€ 15,62
100088;Printer S 706;Office;Nova;€ 174,20;€ 282,28
100089;Monitor Plus 455;Screens;Kronos;€ 135,52;€ 223,09
100090;Monitor Mini 969;Screens;Ion;€ 107,91;€ 163,77
100091;Scanner Prime 545;Office;Atlas;€ 48,15;€ 74,21
100092;Soundbar Prime 546;Audio;Spectra;€ 207,30;€ 330,51
100093;Headset Plus 561;Gaming;Nexus;€ 64,75;€ 97,03
100094;Power Bank Mini 606;Power;Nova;€ 213,48;€ 274,62
100095;Access Point Max 386;Networking;Atlas;€ 220,68;€ 369,83
100096;Speaker Pro 187;Audio;Ion;€ 64,13;€ 93,30
100097;Ethernet Cable Prime 828;Cables;Nexus;€ 125,25;€ 218,52
100098;Screen S 808;Screens;Kronos;€ 64,61;€ 106,48
100099;Mousepad Mini 863;Gaming;Aether;€ 139,85;€ 197,73
100100;Bulb Max 336;Smart Home;Kronos;€ 34,56;€ 44,74
100101;Display X 321;Screens;Ion;€ 185,96;€ 252,42
100102;Power Bank Max 952;Power;Ion;€ 52,56;€ 69,41
100103;HDD Pro 380;Storage;Kronos;€ 16,15;€ 19,23
100104;Headphones Prime 993;Audio;Orion;€ 8,01;€ 10,92
100105;Sensor Mini 152;Smart Home;Aether;€ 66,86;€ 120,10
100106;Screen Ultra 175;Screens;Helios;€ 146,37;€ 243,68
100107;SSD Max 354;Storage;Orion;€ 34,02;€ 58,63
100108;Surge Protector S 561;Power;Spectra;€ 227,58;€ 312,47
100109;Power Bank Max 724;Power;Nova;€ 240,23;€ 294,14
100110;Router Max 260;Networking;Nexus;€ 63,77;€ 99,74
100111;USB Drive Ultra 805;Storage;Aegis;€ 150,48;€ 205,92
100112;Repeater Max 172;Networking;Kronos;€ 173,41;€ 319,58
100113;Power Bank Ultra 657;Power;Nexus;€ 60,08;€ 75,81
100114;Headphones Plus 269;Audio;Orion;€ 199,19;€ 317,96
100115;Power Bank Prime 579;Power;Kronos;€ 173,73;€ 290,96
100116;Soundbar Prime 182;Audio;Ion;€ 151,52;€ 275,32
100117;Controller Max 193;Gaming;Spectra;€ 61,09;€ 101,15
100118;UPS Pro 690;Power;Spectra;€ 14,86;€ 25,52
100119;Bulb Prime 285;Smart Home;Ion;€ 249,25;€ 368,12
100120;Bulb Prime 518;Smart Home;Helios;€ 86,66;€ 143,21
100121;USB Drive Ultra 395;Storage;Atlas;€ 167,33;€ 242,69
100122;HDMI Cable Prime 422;Cables;Aegis;€ 66,84;€ 82,68
100123;Chair Pro 523;Office;Ion;€ 18,28;€ 28,13
100124;Power Bank Prime 308;Power;Aether;€ 70,43;€ 87,91
100125;Headphones Prime 129;Audio;Aether;€ 243,42;€ 391,09
100126;Router Max 665;Networking;Orion;€ 104,96;€ 138,39
100127;Display Plus 610;Screens;Aether;€ 233,50;€ 319,64
100128;Soundbar Prime 349;Audio;Nova;€ 116,91;€ 147,13
100129;Router X 382;Networking;Spectra;€ 194,31;€ 347,97
100130;Controller Max 389;Gaming;Ion;€ 182,88;€ 325,18
100131;Surge Protector X 651;Power;Aether;€ 123,66;€ 173,04
100132;USB-C Cable Prime 990;Cables;Nova;€ 51,22;€ 85,70
100133;Surge Protector S 144;Power;Nova;€ 82,95;€ 124,82
100134;Chair X 137;Office;Nova;€ 35,93;€ 67,33
100135;Controller Prime 638;Gaming;Helios;€ 228,06;€ 264,89
100136;SSD X 580;Storage;Nova;€ 196,47;€ 264,99
100137;UPS Plus 972;Power;Nova;€ 170,22;€ 263,88
100138;Controller Pro 340;Gaming;Aether;€ 159,63;€ 293,83
100139;Router Ultra 878;Networking;Helios;€ 160,27;€ 289,20
100140;Camera Max 147;Smart Home;Orion;€ 84,47;€ 100,70
100141;Gamepad Ultra 350;Gaming;Atlas;€ 135,14;€ 212,77
100142;SSD X 724;Storage;Orion;€ 218,36;€ 352,60
100143;Switch X 572;Networking;Aether;€ 161,29;€ 241,08
100144;Stand Max 659;Accessories;Aether;€ 43,70;€ 64,73
100145;Mousepad Max 806;Gaming;Spectra;€ 66,27;€ 118,22
100146;Router Prime 342;Networking;Nova;€ 98,43;€ 139,69
100147;Soundbar Pro 381;Audio;Kronos;€ 6,98;€ 12,56
100148;Dock Prime 894;Accessories;Spectra;€ 200,72;€ 322,22
100149;Headset S 794;Gaming;Nexus;€ 190,12;€ 328,07
100150;NVMe Pro 907;Storage;Helios;€ 113,00;€ 179,07
100151;NVMe Max 865;Storage;Helios;€ 106,80;€ 138,90
100152;HDMI Cable Max 363;Cables;Atlas;€ 228,94;€ 425,40
100153;Soundbar Plus 177;Audio;Atlas;€ 39,49;€ 74,04
100154;Printer Mini 909;Office;Ion;€ 101,67;€ 137,09
100155;Panel Mini 698;Screens;Aether;€ 98,35;€ 160,20
100156;Mousepad S 125;Gaming;Helios;€ 156,79;€ 291,22
100157;Controller S 750;Gaming;Spectra;€ 206,84;€ 378,94
100158;Speaker Plus 146;Audio;Nova;€ 236,83;€ 326,42
100159;Sensor Plus 650;Smart Home;Helios;€ 38,24;€ 56,99
100160;USB-C Cable X 770;Cables;Nova;€ 29,26;€ 44,39
100161;Webcam Pro 322;Office;Kronos;€ 113,63;€ 211,68
100162;Headset Mini 162;Gaming;Helios;€ 102,54;€ 132,52
100163;Display Plus 757;Screens;Aether;€ 161,68;€ 303,69
100164;Keyboard S 905;Accessories;Atlas;€ 143,32;€ 172,19
100165;HDMI Cable S 436;Cables;Nexus;€ 194,72;€ 339,10
100166;Charger Max 233;Power;Aegis;€ 137,35;€ 240,21
100167;Monitor X 466;Screens;Aegis;€ 198,55;€ 263,76
100168;Headset X 153;Gaming;Aegis;€ 36,06;€ 52,85
100169;Screen Prime 896;Screens;Helios;€ 93,70;€ 149,47
100170;Camera S 844;Smart Home;Ion;€ 196,89;€ 354,45
100171;Ethernet Cable Prime 131;Cables;Kronos;€ 19,90;€ 30,03
100172;Chair Plus 829;Office;Nova;€ 227,88;€ 274,62
100173;Monitor X 229;Screens;Atlas;€ 72,38;€ 117,60
100174;Ethernet Cable Ultra 643;Cables;Atlas;€ 77,25;€ 118,13
100175;Scanner Plus 540;Office;Helios;€ 115,63;€ 152,79
100176;Mousepad Ultra 847;Gaming;Aether;€ 28,30;€ 41,60
100177;Soundbar X 168;Audio;Atlas;€ 27,35;€ 33,20
100178;Scanner Mini 669;Office;Helios;€ 19,70;€ 36,79
100179;USB-C Cable Plus 462;Cables;Atlas;€ 219,03;€ 406,49
100180;Webcam Max 460;Office;Aegis;€ 30,38;€ 46,50
100181;SSD S 458;Storage;Aether;€ 212,12;€ 302,41
100182;Soundbar S 965;Audio;Spectra;€ 142,44;€ 245,79
100183;UPS Pro 129;Power;Spectra;€ 49,20;€ 82,51
100184;Headphones Mini 285;Audio;Atlas;€ 218,12;€ 343,48
100185;Printer X 193;Office;Helios;€ 187,80;€ 246,27
100186;Scanner Mini 478;Office;Aether;€ 81,35;€ 113,34
100187;Power Bank Plus 259;Power;Spectra;€ 43,57;€ 70,29
100188;Screen Prime 597;Screens;Kronos;€ 153,73;€ 224,54
100189;Access Point Plus 540;Networking;Ion;€ 32,17;€ 53,36
100190;Power Bank Max 325;Power;Aether;€ 101,84;€ 162,89
100191;Keyboard Max 885;Accessories;Nexus;€ 38,62;€ 51,81
100192;Mousepad Pro 864;Gaming;Helios;€ 110,51;€ 137,79
100193;HDMI Cable Mini 506;Cables;Nexus;€ 216,13;€ 255,41
100194;Dock Plus 689;Accessories;Aether;€ 110,17;€ 160,11
100195;Chair Plus 121;Office;Kronos;€ 241,72;€ 309,14
100196;Power Bank Mini 547;Power;Aether;€ 211,90;€ 282,35
100197;Surge Protector Plus 991;Power;Nova;€ 81,02;€ 113,80
100198;Controller Plus 643;Gaming;Orion;€ 129,94;€ 237,72
100199;Gamepad X 205;Gaming;Atlas;€ 40,88;€ 53,06
100200;Charger Plus 891;Power;Orion;€ 158,85;€ 237,95
100201;UPS Prime 984;Power;Spectra;€ 242,89;€ 336,91
100202;Plug Prime 746;Smart Home;Helios;€ 79,19;€ 107,38
100203;Dock Plus 572;Accessories;Atlas;€ 115,72;€ 138,02
100204;Soundbar Plus 573;Audio;Helios;€ 147,18;€ 274,59
100205;Dock S 719;Accessories;Aether;€ 121,53;€ 153,51
100206;Dock Plus 831;Accessories;Aether;€ 25,66;€ 41,94
100207;Adapter Prime 636;Accessories;Nexus;€ 133,07;€ 168,87
100208;Mousepad Ultra 893;Gaming;Kronos;€ 87,90;€ 140,50
100209;Controller Mini 671;Gaming;Helios;€ 171,20;€ 233,36
100210;Power Bank Mini 696;Power;Orion;€ 167,58;€ 307,94
100211;Headphones X 417;Audio;Nova;€ 141,94;€ 231,73
100212;Mousepad Plus 620;Gaming;Orion;€ 93,65;€ 133,17
100213;USB Drive Mini 296;Storage;Nexus;€ 60,50;€ 75,82
